index,brand,model,form_note,image_path,thumb_path,image_url,page_url,source_domain,source_type,original_size
1,Oakley,Holbrook Low Bridge Fit OX8100F,sport square full-rim,images/001_oakley_holbrook_low_bridge_fit_ox8100f.jpg,thumbs/001_oakley_holbrook_low_bridge_fit_ox8100f.jpg,https://assets.oakley.com/is/image/OakleyEYE/888392603012__STD__shad__fr.png,https://www.oakley.com/en-us/product/W0OX8100F?variant=888392603012,www.oakley.com,official,3768x1884
2,Gentle Monster,Zin 01,minimal square,images/002_gentle_monster_zin_01.jpg,thumbs/002_gentle_monster_zin_01.jpg,https://gm-prd-resource.gentlemonster.com/catalog/product/ZYYE799SURVC/ce740893-5a4c-43c6-9f10-c3a1bcc1118c/11003137_FRONT.jpg,https://www.gentlemonster.com/kr/ja/item/ZYYE799SURVC/zin01,www.gentlemonster.com,official,3600x3600
3,Gentle Monster,Alio GD1,combination square,images/003_gentle_monster_alio_gd1.jpg,thumbs/003_gentle_monster_alio_gd1.jpg,https://gm-prd-resource.gentlemonster.com/catalog/product/194RVEG6I7XGB/e0a36042-2095-43f0-b716-0eb75d6de77e/11000251_FRONT.jpeg,https://www.gentlemonster.com/kr/ja/item/194RVEG6I7XGB/aliogd1,www.gentlemonster.com,official,3600x3600
4,MOSCOT,Lemtosh,keyhole rounded square acetate,images/004_moscot_lemtosh.jpg,thumbs/004_moscot_lemtosh.jpg,https://moscot.com/cdn/shop/files/lemtosh-color-tortoise-pos-2_3d0284ce-bd3e-4c66-84bb-49bd189f2988_grande.jpg?v=1705433402,https://moscot.com/products/lemtosh,moscot.com,official,600x451
5,MOSCOT,Lemtosh Limited Edition Blue Fade,optical frame,images/005_moscot_lemtosh_limited_edition_blue_fade.jpg,thumbs/005_moscot_lemtosh_limited_edition_blue_fade.jpg,https://moscot.com/cdn/shop/files/lemtosh-le-color-blue-fade-pos-2_grande.jpg?v=1781275109,https://moscot.com/products/lemtosh-limited-edition-blue-fade,moscot.com,official,600x451
6,MOSCOT,Dolt,optical frame,images/006_moscot_dolt.jpg,thumbs/006_moscot_dolt.jpg,https://moscot.com/cdn/shop/files/dolt-color-dark-green-pos-2_grande.jpg?v=1776098246,https://moscot.com/products/dolt,moscot.com,official,600x451
7,MOSCOT,Miltzen,round keyhole acetate,images/007_moscot_miltzen.jpg,thumbs/007_moscot_miltzen.jpg,https://moscot.com/cdn/shop/files/miltzen-color-blonde-pos-2_50104e38-c850-461d-94e0-5199d5099f70_grande.jpg?v=1715367926,https://moscot.com/products/miltzen,moscot.com,official,600x451
8,MOSCOT,Arthur,optical frame,images/008_moscot_arthur.jpg,thumbs/008_moscot_arthur.jpg,https://moscot.com/cdn/shop/files/arthur-color-black-pos-2_grande.jpg?v=1758566608,https://moscot.com/products/arthur,moscot.com,official,600x451
9,MOSCOT,Dahven,optical frame,images/009_moscot_dahven.jpg,thumbs/009_moscot_dahven.jpg,https://moscot.com/cdn/shop/files/dahven-color-blonde-pos-2_grande.jpg?v=1699902607,https://moscot.com/products/dahven,moscot.com,official,600x451
10,MOSCOT,Zissel,optical frame,images/010_moscot_zissel.jpg,thumbs/010_moscot_zissel.jpg,https://moscot.com/cdn/shop/files/zissel-color-black-pos-2_grande.jpg?v=1765209443,https://moscot.com/products/zissel,moscot.com,official,600x451
11,MOSCOT,Frankie,optical frame,images/011_moscot_frankie.jpg,thumbs/011_moscot_frankie.jpg,https://moscot.com/cdn/shop/files/frankie-color-tortoise-pos-2_6603d4b6-8c83-47b2-9570-284e77fbf3c1_grande.jpg?v=1758574520,https://moscot.com/products/frankie,moscot.com,official,600x451
12,MOSCOT,Nebb,optical frame,images/012_moscot_nebb.jpg,thumbs/012_moscot_nebb.jpg,https://moscot.com/cdn/shop/files/nebb-color-navy-pos-2_grande.jpg?v=1697407466,https://moscot.com/products/nebb,moscot.com,official,600x451
13,MOSCOT,Plotz,optical frame,images/013_moscot_plotz.jpg,thumbs/013_moscot_plotz.jpg,https://moscot.com/cdn/shop/files/plotz-color-gold-pos-2_grande.jpg?v=1765207556,https://moscot.com/products/plotz,moscot.com,official,600x451
14,MOSCOT,Zev,optical frame,images/014_moscot_zev.jpg,thumbs/014_moscot_zev.jpg,https://moscot.com/cdn/shop/files/zev-color-gold-dark-green-pos-2_grande.jpg?v=1758576598,https://moscot.com/products/zev,moscot.com,official,600x451
15,MOSCOT,Bjorn,optical frame,images/015_moscot_bjorn.jpg,thumbs/015_moscot_bjorn.jpg,https://moscot.com/cdn/shop/files/bjorn-color-tobacco-pos-2_grande.jpg?v=1758571300,https://moscot.com/products/bjorn,moscot.com,official,600x451
16,MOSCOT,Jared,optical frame,images/016_moscot_jared.jpg,thumbs/016_moscot_jared.jpg,https://moscot.com/cdn/shop/files/jared-color-spot-tortoise-pos-2_grande.jpg?v=1766590619,https://moscot.com/products/jared,moscot.com,official,600x451
17,MOSCOT,Aygen,optical frame,images/017_moscot_aygen.jpg,thumbs/017_moscot_aygen.jpg,https://moscot.com/cdn/shop/files/aygen-color-bamboo-gold-pos-2_grande.jpg?v=1765206071,https://moscot.com/products/aygen,moscot.com,official,600x451
18,Ray-Ban,Ray Ban Meta Blayzer Optics,optical frame,images/018_ray_ban_ray_ban_meta_blayzer_optics.jpg,thumbs/018_ray_ban_ray_ban_meta_blayzer_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/710ac788-8cff-4a2a-b56b-b40f00a53d11/0RW7001__8529__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/ray-ban-meta-blayzer-optics/8056262945056?rxcnav=treatments,www.opsm.com.au,retailer,1030x430
19,Ray-Ban,Ray Ban Meta Scriber Optics,optical frame,images/019_ray_ban_ray_ban_meta_scriber_optics.jpg,thumbs/019_ray_ban_ray_ban_meta_scriber_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/dfc00f70-612b-4810-82cd-b40f00a54b6f/0RW7002__2000__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/ray-ban-meta-scriber-optics/8056262945315?rxcnav=treatments,www.opsm.com.au,retailer,1030x430
20,Ray-Ban,Ray Ban Meta Wayfarer,square optical,images/020_ray_ban_ray_ban_meta_wayfarer.jpg,thumbs/020_ray_ban_ray_ban_meta_wayfarer.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/a56cbbb3-7bf8-4e2c-bdc5-b371003b2328/0OW8002__800204__P21__shad__fr.png?impolicy=OP_Large&hei=200&wid=400,https://www.opsm.com.au/ray-ban-meta/ray-ban-meta-wayfarer/8056262721339,www.opsm.com.au,retailer,400x200
21,Ray-Ban,Rb3958V Elon Optics Limited Edition,optical frame,images/021_ray_ban_rb3958v_elon_optics_limited_edition.jpg,thumbs/021_ray_ban_rb3958v_elon_optics_limited_edition.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/a9e667f1-5283-489c-8056-b361016d12ce/0RX3958V__2945__STD__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/rb3958v-elon-optics-limited-edition/8056597684224,www.opsm.com.au,retailer,1030x430
22,Ray-Ban,Rb3698Vm Scuderia Ferrari Collection,optical frame,images/022_ray_ban_rb3698vm_scuderia_ferrari_collection.jpg,thumbs/022_ray_ban_rb3698vm_scuderia_ferrari_collection.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/885c523d-beb7-4b33-b66e-b36101034d56/0RX3698VM__F073__STD__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb3698vm-scuderia-ferrari-collection/8056597645355,www.opsm.com.au,retailer,2000x1000
23,Ray-Ban,Rb5435 Optics,optical frame,images/023_ray_ban_rb5435_optics.jpg,thumbs/023_ray_ban_rb5435_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/4ef44c36-1289-4032-9305-b36300776b8f/0RX5435__2000__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb5435-optics/8056262269855,www.opsm.com.au,retailer,2000x1000
